Genename
BAG3
FLNC
LMNA
MYBPC3
TTN
ACTC1
ACTN2
ANKRD1
CRYAB
DSC2
DSG2
DSP
GATA4
HCN4
MYH6
PLN
PRKAG2
RAF1
RBM20
RIT1
STRIT1
TBX20
TPM1
VCL
CACNA1C
CPT1B
GJA1
JPH2
KCNJ2
MYL3
MYOZ2
SLC8A1
TCAP
TFAM
TNNC1
TNNI3
COPS5
COPZ1
EIF3L
FIBP
HAX1
HNRNPA2B1
IKBKG
KCTD2
KHDRBS1
NDUFC1
NSA2
PMF1
PUM2
SEC11A
SNX17
TAOK2
UBAP1
UBE2E1
UBL5
USP16
UXT
YTHDF2
ZNHIT3
HINT1
