Gene Name
EED
F8
NR2C1
PCSK9
SERPINE1
SPTB
ANK1
BCL11A
DNMT1
DOT1L
EHMT2
EPB42
EZH1
EZH2
FOXO3
G6PD
GATA1
GATA2
HDAC1
HDAC2
HMGCR
ID1
IKZF1
KDM1A
KIT
KLF1
MEN1
MYB
RBBP4
RBBP7
SBDS
SLC2A1
SLC2A3
SLC4A1
SPTA1
SUZ12
TFRC
TPSAB1
TPSB2
ZBTB7A
ANGPTL3
HBZ
ANK3
HBA1
JAK2
ANK2
HBB
F9
NR2C2
HBG2
HBE1
HBA2
HBG1
LDLR
EFNB2
SLC6A2
GREM1
GYPA
HBD
