Genename
BAG3
FLNC
LMNA
MYBPC3
TTN
ACTC1
ACTN2
ANKRD1
CRYAB
DSC2
DSG2
DSP
GATA4
HCN4
MYH6
PLN
PRKAG2
RAF1
RBM20
RIT1
STRIT1
TBX20
TPM1
VCL
CACNA1C
CPT1B
GJA1
JPH2
KCNJ2
MYL3
MYOZ2
SLC8A1
TCAP
TFAM
TNNC1
TNNI3
ERCC-00004
ERCC-00017
ERCC-00019
ERCC-00028
ERCC-00033
ERCC-00062
ERCC-00083
ERCC-00085
ERCC-00092
ERCC-00095
ERCC-00097
ERCC-00108
ERCC-00116
ERCC-00123
ERCC-00130
ERCC-00131
ERCC-00134
ERCC-00136
ERCC-00144
ERCC-00147
ERCC-00154
ERCC-00156
ERCC-00157
ERCC-00170
COPS5
COPZ1
EIF3L
FIBP
HAX1
HNRNPA2B1
IKBKG
KCTD2
KHDRBS1
NDUFC1
NSA2
PMF1
PUM2
SEC11A
SNX17
TAOK2
UBAP1
UBE2E1
UBL5
USP16
UXT
YTHDF2
ZNHIT3
HINT1
